width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
48.0,1.0,1.0,96.0,0.950457314544184,0.9774920018679549,0.5241698995422279,0.5945407346821769,0.99,0.975,0.09949874371066199,0.15612494995995996,nan,nan,1.0,1.0,nan
48.0,1.0,2.0,96.0,0.924689420018743,0.9737499658241819,0.5477016304554418,0.5864988023881769,0.98,0.97,0.13999999999999999,0.1705872210923198,nan,nan,1.0,1.0,nan
48.0,1.0,3.0,96.0,0.9840816726264617,0.8573484480104095,0.566446933830879,0.6362278613296516,0.99,0.945,0.09949874371066199,0.22798026230356,nan,nan,1.0,1.0,nan
48.0,1.0,4.0,96.0,1.0037484207498997,0.902957649172288,0.5387122519963711,0.6633292741999484,0.99,0.96,0.09949874371066199,0.19595917942265428,nan,nan,1.0,1.0,nan
64.0,1.0,0.0,128.0,0.9544832236727498,0.9641952715062689,0.5620171502921434,0.5574691130900459,0.985,0.975,0.12155245781143219,0.15612494995995996,nan,nan,1.0,1.0,nan
64.0,1.0,1.0,128.0,0.950457314544184,0.9774920018679549,0.5206765689037397,0.5945407346821769,0.99,0.975,0.09949874371066199,0.15612494995995996,nan,nan,1.0,1.0,nan
64.0,1.0,2.0,128.0,0.944689420018743,1.013749965824182,0.5204726090806092,0.5330335416459923,0.99,0.99,0.09949874371066199,0.09949874371066199,nan,nan,1.0,1.0,nan
64.0,1.0,3.0,128.0,0.9840816726264617,0.8473484480104095,0.5585810966433546,0.6541752668876976,0.99,0.94,0.09949874371066199,0.23748684174075838,nan,nan,1.0,1.0,nan
64.0,1.0,4.0,128.0,1.0137484207498997,0.892957649172288,0.519221118015115,0.6596175145796918,0.995,0.955,0.07053367989832945,0.20730412441627882,nan,nan,1.0,1.0,nan
96.0,1.0,0.0,192.0,0.9744832236727499,0.9341952715062689,0.5330134284832957,0.6175967666097173,0.995,0.96,0.07053367989832943,0.19595917942265428,nan,nan,1.0,1.0,nan
96.0,1.0,1.0,192.0,0.960457314544184,0.9674920018679549,0.5030268755843224,0.6078702660060163,0.995,0.97,0.07053367989832945,0.1705872210923198,nan,nan,1.0,1.0,nan
96.0,1.0,2.0,192.0,0.954689420018743,1.013749965824182,0.4975996883736474,0.5196641272186775,0.995,0.99,0.07053367989832945,0.09949874371066199,nan,nan,1.0,1.0,nan
96.0,1.0,3.0,192.0,0.9940816726264617,0.8373484480104095,0.5405122787961765,0.6505963546359249,0.995,0.935,0.07053367989832945,0.246525860712421,nan,nan,1.0,1.0,nan
96.0,1.0,4.0,192.0,1.0237484207498997,0.9429576491722881,0.48480946031444067,0.6012454083738696,1.0,0.98,0.0,0.13999999999999999,nan,nan,1.0,1.0,nan
